airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
LIRN,447,386,329,335,arrivals,0.7360178970917226,0.7494407158836689
LFML,445,392,390,391,arrivals,0.8764044943820225,0.8786516853932584
LFML,444,440,439,440,departures,0.9887387387387387,0.990990990990991
EDDS,440,421,415,418,departures,0.9431818181818182,0.95
EDDS,433,383,376,377,arrivals,0.8683602771362586,0.8706697459584296
LGIR,430,74,0,0,arrivals,0.0,0.0
LGIR,424,8,1,1,departures,0.0023584905660377358,0.0023584905660377358
LIPZ,412,408,408,409,departures,0.9902912621359223,0.9927184466019418
LFLL,412,374,373,386,arrivals,0.9053398058252428,0.9368932038834952
LFLL,411,402,402,417,departures,0.9781021897810219,1.0145985401459854
LIPZ,409,370,368,370,arrivals,0.8997555012224939,0.9046454767726161
LPFR,407,394,392,392,arrivals,0.9631449631449631,0.9631449631449631
LPFR,405,401,399,399,departures,0.9851851851851852,0.9851851851851852
LYBE,395,343,341,342,arrivals,0.8632911392405064,0.8658227848101265
LYBE,394,389,389,391,departures,0.9873096446700508,0.9923857868020305
LICC,391,365,356,356,arrivals,0.9104859335038363,0.9104859335038363
LICC,390,385,381,382,departures,0.9769230769230769,0.9794871794871794
LTAC,381,8,0,0,departures,0.0,0.0
LIPE,380,375,375,375,departures,0.9868421052631579,0.9868421052631579
LIPE,376,358,358,359,arrivals,0.9521276595744681,0.9547872340425532
LTAC,374,3,0,1,arrivals,0.0,0.00267379679144385
LCLK,368,353,351,352,departures,0.9538043478260869,0.9565217391304348
LCLK,367,338,336,338,arrivals,0.9155313351498637,0.9209809264305178
EPKK,360,349,347,348,departures,0.9638888888888889,0.9666666666666667
GMMN,360,323,316,387,departures,0.8777777777777778,1.075
EGGD,360,307,303,303,arrivals,0.8416666666666667,0.8416666666666667
EGGD,359,356,355,356,departures,0.9888579387186629,0.9916434540389972
ENBR,357,333,332,356,arrivals,0.9299719887955182,0.9971988795518207
GMMN,357,265,257,336,arrivals,0.7198879551820728,0.9411764705882353
LEVC,357,336,332,333,arrivals,0.9299719887955182,0.9327731092436975
EPKK,356,262,250,250,arrivals,0.702247191011236,0.702247191011236
LEVC,355,342,341,341,departures,0.9605633802816902,0.9605633802816902
LFSB,354,351,349,354,departures,0.9858757062146892,1.0
LFSB,352,326,322,322,arrivals,0.9147727272727273,0.9147727272727273
ENBR,349,343,343,366,departures,0.9828080229226361,1.0487106017191976
LTBJ,346,324,275,275,departures,0.7947976878612717,0.7947976878612717
LGRP,346,309,303,312,arrivals,0.8757225433526011,0.9017341040462428
EGPF,346,297,296,299,arrivals,0.8554913294797688,0.8641618497109826
EGPF,344,324,322,328,departures,0.936046511627907,0.9534883720930233
LTBJ,341,289,275,275,arrivals,0.8064516129032258,0.8064516129032258
LGRP,340,327,326,334,departures,0.9588235294117647,0.9823529411764705
LMML,326,324,324,325,departures,0.9938650306748467,0.9969325153374233
LMML,326,310,309,310,arrivals,0.9478527607361963,0.950920245398773
GCTS,323,77,71,97,arrivals,0.21981424148606812,0.30030959752321984
LATI,323,13,0,0,arrivals,0.0,0.0
GCTS,321,7,0,11,departures,0.0,0.03426791277258567
GCXO,320,76,76,316,arrivals,0.2375,0.9875
GCXO,319,307,307,367,departures,0.9623824451410659,1.1504702194357366
LATI,316,8,0,0,departures,0.0,0.0
LICJ,314,292,289,291,arrivals,0.9203821656050956,0.9267515923566879
LICJ,310,287,287,288,departures,0.9258064516129032,0.9290322580645162
EBCI,304,304,304,304,departures,1.0,1.0
EBCI,303,290,285,285,arrivals,0.9405940594059405,0.9405940594059405
BIKF,297,296,294,331,departures,0.98989898989899,1.1144781144781144
BIKF,296,88,87,165,arrivals,0.2939189189189189,0.5574324324324325
ELLX,294,292,292,292,departures,0.9931972789115646,0.9931972789115646
ELLX,294,225,225,226,arrivals,0.7653061224489796,0.7687074829931972
LFBO,293,289,289,291,departures,0.9863481228668942,0.9931740614334471
LFBO,290,278,276,278,arrivals,0.9517241379310345,0.9586206896551724
LGTS,281,265,264,264,arrivals,0.9395017793594306,0.9395017793594306
LTBS,280,235,227,228,arrivals,0.8107142857142857,0.8142857142857143
LGTS,279,271,270,271,departures,0.967741935483871,0.9713261648745519
GMMX,279,62,54,57,arrivals,0.1935483870967742,0.20430107526881722
GMMX,278,93,86,88,departures,0.30935251798561153,0.31654676258992803
EVRA,278,232,219,221,arrivals,0.7877697841726619,0.7949640287769785
LEZL,276,263,255,255,arrivals,0.9239130434782609,0.9239130434782609
LEZL,275,274,273,273,departures,0.9927272727272727,0.9927272727272727
EVRA,273,271,270,271,departures,0.989010989010989,0.9926739926739927
LTBS,273,219,219,219,departures,0.8021978021978022,0.8021978021978022
LBSF,272,171,169,169,departures,0.6213235294117647,0.6213235294117647
GCRR,269,2,0,0,departures,0.0,0.0
GCRR,269,25,0,0,arrivals,0.0,0.0
EGNX,267,263,263,265,departures,0.9850187265917603,0.9925093632958801
LBSF,267,98,87,89,arrivals,0.3258426966292135,0.3333333333333333
EDDP,261,224,221,224,arrivals,0.8467432950191571,0.8582375478927203
EPKT,259,251,249,249,departures,0.9613899613899614,0.9613899613899614
HEGN,258,2,0,0,arrivals,0.0,0.0
HEGN,257,0,0,0,departures,0.0,0.0
UGTB,257,165,159,199,departures,0.6186770428015564,0.77431906614786
LFRS,257,243,237,237,arrivals,0.9221789883268483,0.9221789883268483
EPKT,257,215,211,211,arrivals,0.8210116731517509,0.8210116731517509
UGTB,257,67,56,101,arrivals,0.2178988326848249,0.39299610894941633
LFRS,256,253,253,254,departures,0.98828125,0.9921875
EDDP,256,255,255,257,departures,0.99609375,1.00390625
EGNX,255,207,203,206,arrivals,0.796078431372549,0.807843137254902
LIEO,252,216,210,212,arrivals,0.8333333333333334,0.8412698412698413
EPGD,248,56,39,39,departures,0.15725806451612903,0.15725806451612903
LGKR,247,188,168,222,arrivals,0.680161943319838,0.8987854251012146
EGAA,246,227,223,223,arrivals,0.9065040650406504,0.9065040650406504
LGKR,244,209,207,212,departures,0.8483606557377049,0.8688524590163934
HECA,244,62,42,42,departures,0.1721311475409836,0.1721311475409836
EPGD,244,133,4,10,arrivals,0.01639344262295082,0.040983606557377046
EGAA,239,239,239,240,departures,1.0,1.00418410041841
ENZV,236,164,160,174,departures,0.6779661016949152,0.7372881355932204
ENZV,236,125,110,130,arrivals,0.4661016949152542,0.5508474576271186
LEBB,235,213,38,53,arrivals,0.16170212765957448,0.225531914893617
LEBB,234,183,172,174,departures,0.7350427350427351,0.7435897435897436
LTFE,232,191,186,187,arrivals,0.8017241379310345,0.8060344827586207
HECA,231,131,79,82,arrivals,0.341991341991342,0.354978354978355
LFPB,230,227,227,230,departures,0.9869565217391304,1.0
LIBD,229,11,0,1,arrivals,0.0,0.004366812227074236
LIEO,228,202,195,195,departures,0.8552631578947368,0.8552631578947368
LIBD,228,1,0,0,departures,0.0,0.0
LIRP,228,214,211,220,arrivals,0.9254385964912281,0.9649122807017544
UUWW,227,19,4,4,arrivals,0.01762114537444934,0.01762114537444934
LEMH,226,218,217,220,arrivals,0.9601769911504425,0.9734513274336283
LFBD,225,222,222,224,departures,0.9866666666666667,0.9955555555555555
LFPB,225,211,210,214,arrivals,0.9333333333333333,0.9511111111111111
LEMH,222,218,218,218,departures,0.9819819819819819,0.9819819819819819
LIRP,220,217,217,217,departures,0.9863636363636363,0.9863636363636363
