AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2025;ARR:25 - DEP:25;0,5388487504441549
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2025;ARR:07 - DEP:07;0,4583678787160961
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2025;ARR:27R - DEP:27R;0,5937916587316701
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2025;ARR:09L - DEP:09L;0,1637783279375357
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2025;ARR:27L - DEP:27L;0,1133117501428299
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2025;ARR:09R - DEP:09R;0,0531327366215959
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2025;ARR:27 - DEP:27;0,6704077429983525
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2025;ARR:09 - DEP:09;0,3285626029654036
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2025;ARR:26 - DEP:26;0,6332240015435077
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2025;ARR:08 - DEP:08;0,3610843141038008
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2025;ARR:04L - DEP:04R;0,3442520861875700
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2025;ARR:22L - DEP:22R;0,2286710673807448
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2025;ARR:15 - DEP:22R;0,1627849047203885
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2025;ARR:22L - DEP:22L - DEP:22R;0,0775937227550131
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2025;ARR:04L - ARR:04R - DEP:04R;0,0358699713538423
EGAA;EGAA;BFS;Belfast - Aldergrove;United Kingdom;Belfast - Aldergrove (EGAA);Belfast - Aldergrove (BFS);2025;NA;NA
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2025;ARR:33 - DEP:33;0,5074007028005537
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2025;ARR:15 - DEP:15;0,4922798424023000
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2025;ARR:05L - DEP:05L;0,1191989107001021
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2025;ARR:23R - DEP:23L;0,4325995688187904
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2025;ARR:23R - DEP:23R;0,3018835810734142
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2025;ARR:05R - DEP:05L;0,1321910813570861
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2025;ARR:27 - DEP:27;0,5975120158326265
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2025;ARR:09 - DEP:09;0,3986429177268871
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2025;ARR:25 - DEP:25;0,6437878321534831
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2025;ARR:07 - DEP:07;0,3558530829998974
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2025;ARR:26L - DEP:26L;0,6118457719004915
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2025;ARR:08R - DEP:08R;0,3881542280995085
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2025;ARR:27 - DEP:27;0,5773408497181355
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2025;ARR:09 - DEP:09;0,4214216966863742
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2025;ARR:09L - DEP:09R;0,3629365483670119
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2025;ARR:27L - DEP:27R;0,3207675326880624
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2025;ARR:27R - DEP:27L;0,2992019018509084
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2025;ARR:25 - DEP:25;0,7117216928872147
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2025;ARR:07 - DEP:07;0,2866533717408966
EGNX;EGNX;EMA;East Midlands;United Kingdom;East Midlands (EGNX);East Midlands (EMA);2025;NA;NA
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2025;ARR:16 - DEP:16;0,6284669308137761
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2025;ARR:34 - DEP:34;0,3710758914964949
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2025;ARR:23 - DEP:23;0,6749919948767211
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2025;ARR:05 - DEP:05;0,3247945351691749
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2025;ARR:24 - DEP:24;0,6994487206157686
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2025;ARR:06 - DEP:06;0,3005512793842313
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2025;ARR:22 - DEP:22;0,6257185004323720
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2025;ARR:04 - DEP:04;0,3742814995676280
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:18R - DEP:18L - DEP:24;0,1942909760589318
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:06 - ARR:36R - DEP:36L;0,1537753222836095
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:06 - DEP:36C - DEP:36L;0,1155616942909760
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:18C - ARR:18R - DEP:18L;0,0837937384898711
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:18C - ARR:18R - DEP:24;0,0589318600368324
EHAM;EHAM;AMS;Amsterdam - Schiphol;Netherlands;Amsterdam - Schiphol (EHAM);Amsterdam - Schiphol (AMS);2025;ARR:18R - ARR:22 - DEP:24;0,0513351749539595
EHEH;EHEH;EIN;Eindhoven;Netherlands;Eindhoven (EHEH);Eindhoven (EIN);2025;NA;NA
EICK;EICK;ORK;Cork;Ireland;Cork (EICK);Cork (ORK);2025;ARR:16 - DEP:16;0,5439985603743026
EICK;EICK;ORK;Cork;Ireland;Cork (EICK);Cork (ORK);2025;ARR:34 - DEP:34;0,4491632175634335
EIDW;EIDW;DUB;Dublin;Ireland;Dublin (EIDW);Dublin (DUB);2025;ARR:28L - DEP:28R;0,6413620743517650
EIDW;EIDW;DUB;Dublin;Ireland;Dublin (EIDW);Dublin (DUB);2025;ARR:10L - DEP:10R;0,3538477559096115
EKCH;EKCH;CPH;Copenhagen - Kastrup;Denmark;Copenhagen - Kastrup (EKCH);Copenhagen - Kastrup (CPH);2025;ARR:22L - DEP:22R;0,7339974174506547
EKCH;EKCH;CPH;Copenhagen - Kastrup;Denmark;Copenhagen - Kastrup (EKCH);Copenhagen - Kastrup (CPH);2025;ARR:04L - DEP:04R;0,2035909733751460
ELLX;ELLX;LUX;Luxembourg;Luxembourg;Luxembourg (ELLX);Luxembourg (LUX);2025;ARR:24 - DEP:24;0,5785453524290929
ELLX;ELLX;LUX;Luxembourg;Luxembourg;Luxembourg (ELLX);Luxembourg (LUX);2025;ARR:06 - DEP:06;0,4206121875877562
ENBO;ENBO;BOO;Bodø;Norway;Bodø (ENBO);Bodø (BOO);2025;NA;NA
ENBR;ENBR;BGO;Bergen;Norway;Bergen (ENBR);Bergen (BGO);2025;ARR:01 - DEP:01;1,0000000000000000
ENGM;ENGM;OSL;Oslo - Gardermoen;Norway;Oslo - Gardermoen (ENGM);Oslo - Gardermoen (OSL);2025;ARR:19R - DEP:19L;0,3009163464380727
ENGM;ENGM;OSL;Oslo - Gardermoen;Norway;Oslo - Gardermoen (ENGM);Oslo - Gardermoen (OSL);2025;ARR:01R - DEP:01L;0,2432751995270469
ENGM;ENGM;OSL;Oslo - Gardermoen;Norway;Oslo - Gardermoen (ENGM);Oslo - Gardermoen (OSL);2025;ARR:19L - ARR:19R - DEP:19L - DEP:19R;0,1749926101093703
ENGM;ENGM;OSL;Oslo - Gardermoen;Norway;Oslo - Gardermoen (ENGM);Oslo - Gardermoen (OSL);2025;ARR:01L - ARR:01R - DEP:01L - DEP:01R;0,1634643807271652
ENTC;ENTC;TOS;Tromsø;Norway;Tromsø (ENTC);Tromsø (TOS);2025;NA;NA
ENVA;ENVA;TRD;Trondheim;Norway;Trondheim (ENVA);Trondheim (TRD);2025;ARR:01 - DEP:01;1,0000000000000000
ENZV;ENZV;SVG;Stavanger;Norway;Stavanger (ENZV);Stavanger (SVG);2025;ARR:01 - DEP:01;1,0000000000000000
EPGD;EPGD;GDN;Gdansk;Poland;Gdansk (EPGD);Gdansk (GDN);2025;NA;NA
EPKK;EPKK;KRK;Krakow - Balice;Poland;Krakow - Balice (EPKK);Krakow - Balice (KRK);2025;NA;NA
EPKT;EPKT;KTW;Katowice - Pyrzowice;Poland;Katowice - Pyrzowice (EPKT);Katowice - Pyrzowice (KTW);2025;NA;NA
EPWA;EPWA;WAW;Warsaw - Chopin;Poland;Warsaw - Chopin (EPWA);Warsaw - Chopin (WAW);2025;ARR:33 - DEP:29;0,5896367877374208
EPWA;EPWA;WAW;Warsaw - Chopin;Poland;Warsaw - Chopin (EPWA);Warsaw - Chopin (WAW);2025;ARR:33 - DEP:33;0,0846939908919249
EPWA;EPWA;WAW;Warsaw - Chopin;Poland;Warsaw - Chopin (EPWA);Warsaw - Chopin (WAW);2025;ARR:11 - DEP:15;0,2959569032544707
ESGG;ESGG;GOT;Göteborg;Sweden;Göteborg (ESGG);Göteborg (GOT);2025;ARR:21 - DEP:21;0,7209892613081679
ESGG;ESGG;GOT;Göteborg;Sweden;Göteborg (ESGG);Göteborg (GOT);2025;ARR:03 - DEP:03;0,2760820045558086
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:01L - DEP:08;0,1848457622042527
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:19L - DEP:19R;0,2185684336627732
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:26 - DEP:19R;0,2943396226415094
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:19R - DEP:08;0,1144055106319257
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:26 - DEP:19L;0,0310871518418688
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:01R - DEP:01L;0,0704402515723270
ESSA;ESSA;ARN;Stockholm - Arlanda;Sweden;Stockholm - Arlanda (ESSA);Stockholm - Arlanda (ARN);2025;ARR:26 - DEP:01L;0,0343216531895777
ESSB;ESSB;BMA;Stockholm - Bromma;Sweden;Stockholm - Bromma (ESSB);Stockholm - Bromma (BMA);2025;NA;NA
EVRA;EVRA;RIX;Riga;Latvia;Riga (EVRA);Riga (RIX);2025;ARR:18 - DEP:18;0,6112460440126591
EVRA;EVRA;RIX;Riga;Latvia;Riga (EVRA);Riga (RIX);2025;ARR:36 - DEP:36;0,3766099948480164
