AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
LIEO;LIEO;DEP;2024;8;[-16, -30];NA;NA
ENBO;ENBO;ARR;2024;8;[- 5, -15];NA;NA
LIBD;LIBD;DEP;2022;4;[- 5, -15];NA;NA
EGPD;EGPD;ARR;2025;11;[+31, +60];NA;NA
GMMX;GMMX;DEP;2020;1;[>+61];NA;NA
LTBJ;LTBJ;DEP;2023;3;[<-31];NA;NA
ENVA;ENVA;ARR;2021;9;[+ 5, +15];NA;NA
EYVI;EYVI;DEP;2025;5;[- 5, -15];NA;NA
LQSA;LQSA;ARR;2024;11;[- 4, + 4];NA;NA
LGRP;LGRP;DEP;2025;8;[+31, +60];NA;NA
LBBG;LBBG;DEP;2024;5;[-16, -30];NA;NA
EBLG;EBLG;ARR;2022;6;[+16, +30];NA;NA
ENZV;ENZV;DEP;2021;2;[- 5, -15];NA;NA
LFPB;LFPB;DEP;2021;10;[+16, +30];NA;NA
EGCC;EGCC;DEP;2022;11;[- 4, + 4];NA;NA
ENTC;ENTC;ARR;2020;10;[+16, +30];NA;NA
LUKK;LUKK;DEP;2021;6;[+ 5, +15];NA;NA
EGNX;EGNX;ARR;2024;7;[+16, +30];NA;NA
LGAV;LGAV;DEP;2026;5;[+16, +30];NA;NA
UKBB;UKBB;DEP;2019;3;[>+61];NA;NA
EYVI;EYVI;DEP;2023;4;[<-31];NA;NA
LGIR;LGIR;DEP;2025;7;[+ 5, +15];NA;NA
ENTC;ENTC;DEP;2024;10;[+16, +30];NA;NA
EPKT;EPKT;ARR;2019;10;[+31, +60];NA;NA
GMMN;GMMN;DEP;2023;5;[-16, -30];NA;NA
LTAC;LTAC;DEP;2022;7;[+16, +30];NA;NA
EPGD;EPGD;DEP;2023;10;[<-31];NA;NA
LBBG;LBBG;ARR;2025;11;[+ 5, +15];NA;NA
ENBO;ENBO;ARR;2019;2;[- 4, + 4];NA;NA
ENVA;ENVA;DEP;2022;4;[-16, -30];NA;NA
EPGD;EPGD;ARR;2025;6;[- 4, + 4];NA;NA
