airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
LIRA,156,153,11,11,arrivals,0.07051282051282051,0.07051282051282051,path0_legacy
LIRA,154,152,150,153,departures,0.974025974025974,0.9935064935064936,path0_legacy
EPPO,154,148,148,148,arrivals,0.961038961038961,0.961038961038961,path0_legacy
EKBI,154,150,149,150,arrivals,0.9675324675324676,0.974025974025974,path0_legacy
LPPD,153,42,42,42,departures,0.27450980392156865,0.27450980392156865,path0_legacy
EKBI,152,146,146,147,departures,0.9605263157894737,0.9671052631578947,path0_legacy
LPPD,151,92,91,93,arrivals,0.6026490066225165,0.6158940397350994,path0_legacy
ULLI,148,1,0,0,arrivals,0.0,0.0,path0_legacy
OLBA,144,8,5,5,departures,0.034722222222222224,0.034722222222222224,path0_legacy
LIPX,144,120,119,119,departures,0.8263888888888888,0.8263888888888888,path0_legacy
OLBA,144,17,16,17,arrivals,0.1111111111111111,0.11805555555555555,path0_legacy
ENTC,143,7,0,0,arrivals,0.0,0.0,path0_legacy
ULLI,142,0,0,0,departures,0.0,0.0,path0_legacy
LIPX,142,138,138,143,arrivals,0.971830985915493,1.0070422535211268,path0_legacy
LGSR,139,3,0,0,departures,0.0,0.0,path0_legacy
LGSR,139,2,0,0,arrivals,0.0,0.0,path0_legacy
ENTC,138,5,0,0,departures,0.0,0.0,path0_legacy
LTCG,138,84,84,84,arrivals,0.6086956521739131,0.6086956521739131,path0_legacy
EGPD,137,124,124,124,departures,0.9051094890510949,0.9051094890510949,path0_legacy
EGPD,136,123,123,123,arrivals,0.9044117647058824,0.9044117647058824,path0_legacy
ENBO,134,99,98,127,departures,0.7313432835820896,0.9477611940298507,path0_legacy
EBLG,134,133,132,138,departures,0.9850746268656716,1.0298507462686568,path0_legacy
LTDB,133,3,0,0,departures,0.0,0.0,path0_legacy
LTCG,133,97,97,97,departures,0.7293233082706767,0.7293233082706767,path0_legacy
ENBO,133,115,110,129,arrivals,0.8270676691729323,0.9699248120300752,path0_legacy
LRCL,130,0,0,0,departures,0.0,0.0,path0_legacy
LIBR,130,2,0,0,departures,0.0,0.0,path0_legacy
LRCL,129,0,0,0,arrivals,0.0,0.0,path0_legacy
LTDB,129,3,0,0,arrivals,0.0,0.0,path0_legacy
LGZA,126,126,123,125,departures,0.9761904761904762,0.9920634920634921,path0_legacy
EBLG,126,97,97,102,arrivals,0.7698412698412699,0.8095238095238095,path0_legacy
LGZA,126,119,118,122,arrivals,0.9365079365079365,0.9682539682539683,path0_legacy
LIBR,125,0,0,0,arrivals,0.0,0.0,path0_legacy
EGAC,123,120,120,121,departures,0.975609756097561,0.983739837398374,path0_legacy
EGAC,123,116,116,149,arrivals,0.943089430894309,1.2113821138211383,path0_legacy
BKPR,120,0,0,0,departures,0.0,0.0,path0_legacy
BKPR,120,2,0,0,arrivals,0.0,0.0,path0_legacy
EICK,120,119,119,119,arrivals,0.9916666666666667,0.9916666666666667,path0_legacy
EICK,119,118,118,118,departures,0.9915966386554622,0.9915966386554622,path0_legacy
LDZD,118,10,3,3,arrivals,0.025423728813559324,0.025423728813559324,path0_legacy
OJAI,116,1,0,1,departures,0.0,0.008620689655172414,path0_legacy
OJAI,116,0,0,0,arrivals,0.0,0.0,path0_legacy
LDZD,114,1,0,0,departures,0.0,0.0,path0_legacy
LICA,112,1,0,0,arrivals,0.0,0.0,path0_legacy
EGLF,110,110,109,119,departures,0.990909090909091,1.0818181818181818,path0_legacy
LICA,108,0,0,0,departures,0.0,0.0,path0_legacy
EGJJ,108,106,96,96,arrivals,0.8888888888888888,0.8888888888888888,path0_legacy
EGLF,108,107,104,107,arrivals,0.9629629629629629,0.9907407407407407,path0_legacy
LCPH,107,98,97,97,arrivals,0.9065420560747663,0.9065420560747663,path0_legacy
LWSK,106,0,0,0,departures,0.0,0.0,path0_legacy
OKKK,106,103,103,103,departures,0.9716981132075472,0.9716981132075472,path0_legacy
LEST,106,82,79,79,arrivals,0.7452830188679245,0.7452830188679245,path0_legacy
LCPH,105,23,23,23,departures,0.21904761904761905,0.21904761904761905,path0_legacy
LGMK,105,12,9,9,departures,0.08571428571428572,0.08571428571428572,path0_legacy
LEST,105,15,15,15,departures,0.14285714285714285,0.14285714285714285,path0_legacy
LZIB,105,101,101,101,departures,0.9619047619047619,0.9619047619047619,path0_legacy
LEGE,105,29,27,27,arrivals,0.2571428571428571,0.2571428571428571,path0_legacy
LWSK,105,0,0,0,arrivals,0.0,0.0,path0_legacy
