accuracy,angle_deg,answered,block_correct,block_flights,correct,ratio,recall_of_recoverable,side,window_min,wrong
0.5065913370998116,2,531,1463,7764,269,1.0267175572519085,0.18386876281613124,departure,5,262
0.52925877763329,3,769,1463,7764,407,1.1243093922651934,0.2781954887218045,departure,5,362
0.5266393442622951,4,976,1463,7764,514,1.1125541125541125,0.3513328776486671,departure,5,462
0.5163511187607573,5,1162,1463,7764,600,1.0676156583629892,0.4101161995898838,departure,5,562
0.4927899686520376,7,1595,1463,7764,786,0.9715698393077874,0.5372522214627478,departure,5,809
0.4392361111111111,10,2304,1463,7764,1012,0.7832817337461301,0.6917293233082706,departure,5,1292
0.3963963963963964,15,2997,1463,7764,1188,0.6567164179104478,0.8120300751879699,departure,5,1809
0.3720997679814385,20,3448,1463,7764,1283,0.5926096997690531,0.8769651401230348,departure,5,2165
0.3467297084318361,25,3807,1463,7764,1320,0.5307599517490953,0.9022556390977443,departure,5,2487
0.32338670548277537,30,4122,1463,7764,1333,0.47794908569379707,0.9111414900888585,departure,5,2789
0.28003314001657,40,4828,1463,7764,1352,0.38895281933256615,0.9241285030758715,departure,5,3476
0.2453203743700504,50,5556,1463,7764,1363,0.32506558549964226,0.9316473000683527,departure,5,4193
0.23110513940208263,60,5954,1463,7764,1376,0.3005679335954565,0.9405331510594669,departure,5,4578
0.21077318807686488,90,6609,1463,7764,1393,0.2670628834355828,0.9521531100478469,departure,5,5216
0.4818941504178273,1,359,1464,7766,173,0.9301075268817204,0.11816939890710383,departure,7,186
0.47496206373292865,2,659,1464,7766,313,0.9046242774566474,0.21379781420765026,departure,7,346
0.5015641293013556,3,959,1464,7766,481,1.006276150627615,0.328551912568306,departure,7,478
0.4887966804979253,4,1205,1464,7766,589,0.9561688311688312,0.4023224043715847,departure,7,616
0.475354490209318,5,1481,1464,7766,704,0.9060489060489061,0.4808743169398907,departure,7,777
0.44953225012309206,7,2031,1464,7766,913,0.8166368515205724,0.6236338797814208,departure,7,1118
0.4013133892739876,10,2741,1464,7766,1100,0.6703229737964655,0.7513661202185792,departure,7,1641
0.3616289073702323,15,3487,1464,7766,1261,0.5664869721473496,0.8613387978142076,departure,7,2226
0.3297392176529589,20,3988,1464,7766,1315,0.49195660306771416,0.898224043715847,departure,7,2673
0.30392379224313903,25,4409,1464,7766,1340,0.4366243075920495,0.9153005464480874,departure,7,3069
0.2762080262080262,30,4884,1464,7766,1349,0.3816124469589816,0.921448087431694,departure,7,3535
0.23572170301142265,40,5778,1464,7766,1362,0.30842391304347827,0.930327868852459,departure,7,4416
0.22088353413654618,50,6225,1464,7766,1375,0.28350515463917525,0.9392076502732241,departure,7,4850
0.2129032258064516,60,6510,1464,7766,1386,0.27049180327868855,0.9467213114754098,departure,7,5124
0.20083082652915055,90,6981,1464,7766,1402,0.2512995160423015,0.9576502732240437,departure,7,5579
0.4517543859649123,1,456,1465,7768,206,0.824,0.14061433447098975,departure,10,250
0.4713302752293578,2,872,1465,7768,411,0.8915401301518439,0.28054607508532425,departure,10,461
0.45545378850957535,3,1201,1465,7768,547,0.8363914373088684,0.3733788395904437,departure,10,654
0.452638270820089,4,1573,1465,7768,712,0.826945412311266,0.48600682593856653,departure,10,861
0.4409326424870466,5,1930,1465,7768,851,0.788693234476367,0.5808873720136519,departure,10,1079
0.40321346595256313,7,2614,1465,7768,1054,0.6756410256410257,0.7194539249146757,departure,10,1560
0.3626207729468599,10,3312,1465,7768,1201,0.5689246802463288,0.8197952218430035,departure,10,2111
0.31761006289308175,15,4134,1465,7768,1313,0.46543778801843316,0.8962457337883959,departure,10,2821
0.2871913905887318,20,4739,1465,7768,1361,0.4029011249259917,0.9290102389078498,departure,10,3378
0.2537451451821713,25,5407,1465,7768,1372,0.3400247831474597,0.936518771331058,departure,10,4035
0.2304733232982104,30,5979,1465,7768,1378,0.2995001086720278,0.9406143344709897,departure,10,4601
0.21431863573513596,40,6509,1465,7768,1395,0.27278060226828316,0.9522184300341296,departure,10,5114
0.20679012345679013,50,6804,1465,7768,1407,0.2607003891050584,0.9604095563139932,departure,10,5397
0.20266590225025083,60,6977,1465,7768,1414,0.25417939960452995,0.9651877133105802,departure,10,5563
