month,adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned
2025-06,0.9897168210883466,0.40282392026578073,0.3986816098237941,0.9751901598809798,0.5017347239160604,0.4892867656335422,500.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9904078161465132,0.5315824887505782,0.5264834517851886,0.9744177534626572,0.5457651709491568,0.5318032717944404,1000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9902737088808906,0.6280226250052567,0.6219142941250684,0.9730584319526627,0.5685689053366416,0.5532507674839143,2000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9884292520608031,0.6950986164262585,0.6870558055427057,0.9650101964151551,0.5877244627612599,0.567160099247235,5000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9858422250465522,0.7114050212372262,0.7013331090457967,0.9619732785200411,0.5933176332057698,0.5707557088187056,8000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.983945830028495,0.7157786282013542,0.7042873964422389,0.9597463225579143,0.5967975945161698,0.5727742966483031,10000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9812538324524775,0.7201101812523655,0.706610875141932,0.9569288389513109,0.6007191219142941,0.5748454518692965,15000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9801145889522255,0.7211510156020018,0.7068106312292359,0.9548367993869091,0.6036208419193406,0.5763593927414946,20000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9708192232869803,0.7295828251818832,0.7082930316665966,0.9368504014580562,0.6403023676353085,0.5998675301736827,1000000000.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9881167748572239,0.2963854661676269,0.29286345094411037,0.9696309080449329,0.347228647125615,0.3366836284116237,0.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9890459548276042,0.40310778417931786,0.39869212330207326,0.9730616509926855,0.5030699356575129,0.4895180621556836,500.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9897424748502875,0.5319504604903487,0.5264939652634678,0.9719394614527714,0.5473947600824257,0.5320345683165819,1000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9895615517154853,0.6284852180495395,0.6219248076033475,0.9704348146646269,0.5703877370789352,0.5535241179191723,2000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9871547169811321,0.6965179359939442,0.6875709659783843,0.9607329842931938,0.6064384540981538,0.5826254257958703,5000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9842828789913023,0.7204255856007401,0.7091025694940915,0.9544407950428334,0.6209891080365028,0.5926973379872997,8000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9818254729816822,0.734082593885361,0.7207409899491147,0.9488528203586815,0.6296101602254089,0.5974073762563606,10000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9760936623667975,0.7498212708692544,0.731895790403297,0.9406176552766957,0.6396715589385592,0.6016863619159762,15000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9725525182262988,0.7542053913116615,0.7335043525800076,0.9338790522067439,0.6460322132974473,0.6033159510492452,20000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.946477157360406,0.7766832078724926,0.7351129147567181,0.8916545967657643,0.7040981538332142,0.6278123554396736,1000000000.0,20.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9875567214974476,0.2965641952983725,0.2928739644223895,0.9668326542930437,0.34836410277976365,0.33680979015097356,0.0,40.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9885306154367489,0.4033285672231801,0.3987026367803524,0.970959201117435,0.504300012616174,0.4896547373733126,500.0,40.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9892736503170496,0.5322238109256067,0.5265149922200261,0.9696940671634643,0.5488140796501114,0.53218175701249,1000.0,40.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
