month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,sched_penalty_nm,variant,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,GMMN,354,3,0,0,departures,0.0,0.0,15,default,large_airport,33.3675,-7.58997,True,True,True
2024-06,LFBO,354,297,294,299,arrivals,0.8305084745762712,0.844632768361582,15,default,large_airport,43.629101,1.36382,True,True,True
2024-06,LPFR,353,322,317,326,arrivals,0.8980169971671388,0.923512747875354,15,default,large_airport,37.015909,-7.970939,True,True,True
2024-06,LPFR,350,327,327,329,departures,0.9342857142857144,0.94,15,default,large_airport,37.015909,-7.970939,True,True,True
2024-06,LFBO,350,308,306,308,departures,0.8742857142857143,0.88,15,default,large_airport,43.629101,1.36382,True,True,True
2024-06,GMMN,348,4,0,0,arrivals,0.0,0.0,15,default,large_airport,33.3675,-7.58997,True,True,True
2024-06,EGPF,340,264,263,267,arrivals,0.7735294117647059,0.7852941176470588,15,default,large_airport,55.871899,-4.43306,True,True,True
2024-06,LFSB,336,289,283,285,arrivals,0.8422619047619048,0.8482142857142857,15,default,large_airport,47.60068,7.521117,True,True,True
2024-06,EGPF,334,284,282,283,departures,0.844311377245509,0.8473053892215568,15,default,large_airport,55.871899,-4.43306,True,True,True
2024-06,LFSB,330,307,302,302,departures,0.9151515151515152,0.9151515151515152,15,default,large_airport,47.60068,7.521117,True,True,True
2024-06,ELLX,328,269,259,266,arrivals,0.7896341463414634,0.8109756097560976,15,default,large_airport,49.626845,6.212134,True,True,True
2024-06,ELLX,327,297,295,299,departures,0.9021406727828746,0.9143730886850152,15,default,large_airport,49.626845,6.212134,True,True,True
2024-06,GCXO,327,0,0,0,departures,0.0,0.0,15,default,large_airport,28.482752,-16.341707,True,True,True
2024-06,GCXO,327,1,0,0,arrivals,0.0,0.0,15,default,large_airport,28.482752,-16.341707,True,True,True
2024-06,EPKK,325,299,299,300,departures,0.92,0.9230769230769232,15,default,large_airport,50.077702,19.7848,True,True,True
2024-06,LTBJ,323,243,243,243,departures,0.7523219814241486,0.7523219814241486,15,default,large_airport,38.2924,27.157,True,True,True
2024-06,LATI,323,76,76,76,departures,0.2352941176470588,0.2352941176470588,15,default,large_airport,41.4147,19.7206,True,True,True
2024-06,EPKK,322,248,247,249,arrivals,0.7670807453416149,0.7732919254658385,15,default,large_airport,50.077702,19.7848,True,True,True
2024-06,LTBJ,320,190,185,187,arrivals,0.578125,0.584375,15,default,large_airport,38.2924,27.157,True,True,True
2024-06,LATI,319,52,41,42,arrivals,0.128526645768025,0.1316614420062695,15,default,large_airport,41.4147,19.7206,True,True,True
2024-06,LICJ,312,114,112,117,arrivals,0.358974358974359,0.375,15,default,large_airport,38.175999,13.091,True,True,True
2024-06,LMML,311,278,276,279,departures,0.887459807073955,0.8971061093247589,15,default,large_airport,35.845932,14.491546,True,True,True
2024-06,LICJ,310,271,271,281,departures,0.8741935483870967,0.9064516129032258,15,default,large_airport,38.175999,13.091,True,True,True
2024-06,BIKF,308,275,275,275,departures,0.8928571428571429,0.8928571428571429,15,default,large_airport,63.985001,-22.6056,True,True,True
2024-06,LMML,308,262,258,263,arrivals,0.8376623376623377,0.8538961038961039,15,default,large_airport,35.845932,14.491546,True,True,True
2024-06,BIKF,306,88,86,88,arrivals,0.2810457516339869,0.2875816993464052,15,default,large_airport,63.985001,-22.6056,True,True,True
2024-06,LCLK,302,245,159,159,departures,0.5264900662251656,0.5264900662251656,15,default,large_airport,34.875099,33.624901,True,True,True
2024-06,EBCI,298,284,284,284,departures,0.953020134228188,0.953020134228188,15,default,large_airport,50.461963,4.459562,True,True,True
2024-06,EBCI,298,277,274,276,arrivals,0.9194630872483222,0.9261744966442952,15,default,large_airport,50.461963,4.459562,True,True,True
2024-06,LCLK,298,224,156,163,arrivals,0.5234899328859061,0.5469798657718121,15,default,large_airport,34.875099,33.624901,True,True,True
2024-06,ENZV,297,106,72,72,arrivals,0.2424242424242424,0.2424242424242424,15,default,large_airport,58.876701,5.63778,True,True,True
2024-06,GCTS,295,0,0,0,departures,0.0,0.0,15,default,large_airport,28.0445,-16.5725,True,True,True
2024-06,ENZV,295,110,110,110,departures,0.3728813559322034,0.3728813559322034,15,default,large_airport,58.876701,5.63778,True,True,True
2024-06,GCTS,294,1,0,0,arrivals,0.0,0.0,15,default,large_airport,28.0445,-16.5725,True,True,True
2024-06,LGRP,291,255,253,254,arrivals,0.8694158075601375,0.872852233676976,15,default,large_airport,36.405399,28.086201,True,True,True
2024-06,EGNX,288,235,233,236,departures,0.8090277777777778,0.8194444444444444,15,default,large_airport,52.8311,-1.32806,True,True,True
2024-06,EGNX,287,198,194,202,arrivals,0.6759581881533101,0.7038327526132404,15,default,large_airport,52.8311,-1.32806,True,True,True
2024-06,LGRP,284,265,264,265,departures,0.9295774647887324,0.9330985915492958,15,default,large_airport,36.405399,28.086201,True,True,True
2024-06,EVRA,282,255,255,255,departures,0.9042553191489362,0.9042553191489362,15,default,large_airport,56.920752,23.970711,True,True,True
2024-06,EVRA,278,243,240,244,arrivals,0.8633093525179856,0.8776978417266187,15,default,large_airport,56.920752,23.970711,True,True,True
2024-06,LBSF,277,244,242,242,departures,0.8736462093862816,0.8736462093862816,15,default,large_airport,42.696357,23.417671,True,True,True
2024-06,LBSF,275,235,232,233,arrivals,0.8436363636363636,0.8472727272727273,15,default,large_airport,42.696357,23.417671,True,True,True
2024-06,LFBD,274,246,244,248,arrivals,0.8905109489051095,0.9051094890510948,15,default,large_airport,44.82865,-0.715356,True,True,True
2024-06,EGLC,273,242,242,305,departures,0.8864468864468864,1.1172161172161172,15,default,medium_airport,51.505299,0.055278,True,True,True
2024-06,LEZL,273,250,250,250,arrivals,0.9157509157509156,0.9157509157509156,15,default,large_airport,37.417999,-5.89311,True,True,True
2024-06,LEZL,271,246,246,247,departures,0.9077490774907748,0.911439114391144,15,default,large_airport,37.417999,-5.89311,True,True,True
2024-06,LFBD,271,245,245,246,departures,0.904059040590406,0.9077490774907748,15,default,large_airport,44.82865,-0.715356,True,True,True
2024-06,GMMX,268,4,0,0,arrivals,0.0,0.0,15,default,large_airport,31.604807,-8.035788,True,True,True
2024-06,ENVA,266,248,248,251,departures,0.9323308270676692,0.943609022556391,15,default,large_airport,63.457802,10.924,True,True,True
2024-06,ENVA,266,173,172,175,arrivals,0.6466165413533834,0.6578947368421053,15,default,large_airport,63.457802,10.924,True,True,True
2024-06,EGLC,266,235,230,309,arrivals,0.8646616541353384,1.1616541353383458,15,default,medium_airport,51.505299,0.055278,True,True,True
2024-06,EGAA,265,228,226,229,departures,0.8528301886792453,0.8641509433962264,15,default,large_airport,54.6575012207,-6.21582984924,True,True,True
2024-06,LGTS,265,242,241,242,arrivals,0.909433962264151,0.9132075471698112,15,default,large_airport,40.51928,22.970009,True,True,True
2024-06,LFRS,264,239,239,241,departures,0.9053030303030304,0.9128787878787878,15,default,medium_airport,47.153198,-1.61073,True,True,True
2024-06,LFRS,264,237,236,237,arrivals,0.8939393939393939,0.8977272727272727,15,default,medium_airport,47.153198,-1.61073,True,True,True
2024-06,EGAA,263,219,218,222,arrivals,0.8288973384030418,0.844106463878327,15,default,large_airport,54.6575012207,-6.21582984924,True,True,True
2024-06,GMMX,261,1,0,0,departures,0.0,0.0,15,default,large_airport,31.604807,-8.035788,True,True,True
2024-06,LGTS,258,243,242,242,departures,0.937984496124031,0.937984496124031,15,default,large_airport,40.51928,22.970009,True,True,True
2024-06,GCRR,258,3,0,0,arrivals,0.0,0.0,15,default,large_airport,28.945499,-13.6052,True,True,True
2024-06,GCRR,257,0,0,0,departures,0.0,0.0,15,default,large_airport,28.945499,-13.6052,True,True,True
2024-06,LFPB,245,195,150,200,arrivals,0.6122448979591837,0.8163265306122449,15,default,large_airport,48.962276,2.436539,True,True,True
